trajectory_count,model_seed_count,model_seeds,trajectory_seed,split_seed,mean_state_count,mean_effective_weighted_pairs,mean_training_seconds,total_training_seconds,validation_mrr,validation_mrr_min,validation_mrr_max,validation_mrr_stddev,validation_hit_at_10,mrr_improvement_to_next,next_larger_dataset_justified,plateau_threshold,plateau_selected,three_seed_complete,metrics_paths
25000,3,2026;2027;2028,2026,2026,97798.0,702.5943603515625,3078.7369999999996,9236.211,0.4611451735195582,0.4601901320859055,0.4629999275930908,0.0013117036819392104,0.2446205431291301,0.004991647787999209,True,0.002,False,True,/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E4_negative_mixture/mixture_no_model_hard_n32_25k_tseed2026_mseed2026/metrics.json;/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E4_negative_mixture/mixture_no_model_hard_n32_25k_tseed2026_mseed2027/metrics.json;/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E4_negative_mixture/mixture_no_model_hard_n32_25k_tseed2026_mseed2028/metrics.json
50000,3,2026;2027;2028,2026,2026,195641.0,1413.4635009765625,2108.3823333333335,6325.147,0.4661368213075574,0.4652439374214496,0.4674487394287232,0.0009476216686816433,0.2578220518067759,0.004717215099484362,True,0.002,False,True,/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E7_learning_curve/050k_public_tseed2026_mseed2026/metrics.json;/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E7_learning_curve/050k_public_tseed2026_mseed2027/metrics.json;/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E7_learning_curve/050k_public_tseed2026_mseed2028/metrics.json
100000,3,2026;2027;2028,2026,2026,390707.0,2827.9871419270835,12548.588000000002,37645.764,0.47085403640704176,0.46906707822217475,0.4724371530181044,0.0013833569250072744,0.2632694080808186,,,0.002,True,True,/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E7_learning_curve/100k_public_tseed2026_mseed2026/metrics.json;/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E7_learning_curve/100k_public_tseed2026_mseed2027/metrics.json;/Users/joellui/Documents/tiktok_hackathon26/approach 1/results/redesign/experiments_v3_downweight/E7_learning_curve/100k_public_tseed2026_mseed2028/metrics.json
