dimension,value,requested_bootstrap_replicates,comparison,comparison_unit,metric,state_count,trajectory_count,observed_delta,observed_delta_raw,bootstrap_replicates,bootstrap_seed,ci_95_lower,ci_95_upper,ci_excludes_zero,informative,wins,ties,losses
scenario_state,boundary,10000,fm_minus_linear,trajectory,mrr_delta,499,133,0.004167211110466649,0.004167211110466649,1000,2026,-0.007561775441106086,0.015978995319216996,False,True,158,199,142
scenario_state,boundary,10000,fm_minus_linear,trajectory,hit_at_1_delta,499,133,-0.0014619883040935672,-0.0014619883040935672,1000,2026,-0.01754908103592314,0.016290726817042606,False,True,8,484,7
scenario_state,boundary,10000,fm_minus_linear,trajectory,hit_at_5_delta,499,133,0.008145363408521303,0.008145363408521303,1000,2026,-0.013168337510442772,0.030284043441938177,False,True,10,480,9
scenario_state,boundary,10000,fm_minus_linear,trajectory,hit_at_10_delta,282,133,-0.008270676691729323,-0.004594820384294068,1000,2026,-0.04338659147869674,0.02982769423558897,False,True,9,262,11
scenario_state,boundary,10000,fm_minus_linear,trajectory,rank_improvement,499,133,4.7877968731352185,4.7877968731352185,1000,2026,-3.7215811851056206,12.94813700918964,False,True,158,199,142
scenario_state,boundary,10000,fm_minus_linear,trajectory,rank_percentile_improvement,499,133,0.009876135896663684,0.009876135896663684,1000,2026,-0.019454104338585514,0.03376895485390545,False,True,158,199,142
scenario_state,boundary,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,499,133,0.008131076859197431,0.008131076859197431,1000,2026,-0.023421988496282558,0.03948199950866677,False,True,158,47,142
scenario_state,browsing,10000,fm_minus_linear,trajectory,mrr_delta,3123,963,0.005616628521967488,0.005616628521967488,1000,2026,-0.0012737754932181959,0.012674094647063407,False,True,928,1341,854
scenario_state,browsing,10000,fm_minus_linear,trajectory,hit_at_1_delta,3123,963,0.006403599861543786,0.006403599861543786,1000,2026,-0.0033236702434521754,0.015983039113880233,False,True,70,3011,42
scenario_state,browsing,10000,fm_minus_linear,trajectory,hit_at_5_delta,3123,963,2.802090029504364e-05,2.802090029504364e-05,1000,2026,-0.00919192668413852,0.008930549374474607,False,True,85,2966,72
scenario_state,browsing,10000,fm_minus_linear,trajectory,hit_at_10_delta,1696,829,0.013570566948130277,0.00577395374903163,1000,2026,-0.003962605548854044,0.034482308001608356,False,True,106,1517,73
scenario_state,browsing,10000,fm_minus_linear,trajectory,rank_improvement,3123,963,0.46453048509123285,0.46453048509123285,1000,2026,-2.204474154840198,3.089588051558456,False,True,928,1341,854
scenario_state,browsing,10000,fm_minus_linear,trajectory,rank_percentile_improvement,3123,963,0.007621779890734342,0.007621779890734342,1000,2026,-0.0038447251727286524,0.01853019410865106,False,True,928,1341,854
scenario_state,browsing,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,3123,863,0.013314891182605863,0.013314891182605863,1000,2026,-0.0007245458143070957,0.028035848046627555,False,True,928,227,854
scenario_state,buying,10000,fm_minus_linear,trajectory,mrr_delta,2907,990,0.02051368276527958,0.02051368276527958,1000,2026,0.011858356611960648,0.030161269815701563,True,True,1106,1083,718
scenario_state,buying,10000,fm_minus_linear,trajectory,hit_at_1_delta,2907,990,0.021885521885521887,0.021885521885521887,1000,2026,0.008501683501683503,0.03544612794612794,True,True,83,2777,47
scenario_state,buying,10000,fm_minus_linear,trajectory,hit_at_5_delta,2907,990,0.0218013468013468,0.0218013468013468,1000,2026,0.007421717171717171,0.03515151515151515,True,True,130,2699,78
scenario_state,buying,10000,fm_minus_linear,trajectory,hit_at_10_delta,1708,631,0.041389329107237194,0.015016835016835017,1000,2026,0.015886159535129424,0.06872886951928156,True,True,125,1508,75
scenario_state,buying,10000,fm_minus_linear,trajectory,rank_improvement,2907,990,3.8975252525252526,3.8975252525252526,1000,2026,1.9776616161616165,5.858005892255892,True,True,1106,1083,718
scenario_state,buying,10000,fm_minus_linear,trajectory,rank_percentile_improvement,2907,990,0.04179813532995255,0.04179813532995255,1000,2026,0.02867427432856289,0.05580045478740353,True,True,1106,1083,718
scenario_state,buying,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,2907,793,0.06254095654822625,0.06254095654822625,1000,2026,0.04372822314101494,0.08135089842599195,True,True,1106,314,718
scenario_state,exploring_unknown,10000,fm_minus_linear,trajectory,mrr_delta,1128,1128,0.0002866780919773314,0.0002866780919773314,1000,2026,-0.005461523160400301,0.006610129086087084,False,True,536,32,560
scenario_state,exploring_unknown,10000,fm_minus_linear,trajectory,hit_at_1_delta,1128,1128,-0.004432624113475178,-0.004432624113475178,1000,2026,-0.0106604609929078,0.0026595744680851063,False,True,6,1111,11
scenario_state,exploring_unknown,10000,fm_minus_linear,trajectory,hit_at_5_delta,1128,1128,0.0035460992907801418,0.0035460992907801418,1000,2026,-0.010638297872340425,0.01773049645390071,False,True,33,1066,29
scenario_state,exploring_unknown,10000,fm_minus_linear,trajectory,hit_at_10_delta,1094,1094,-0.0009140767824497258,-0.0008865248226950354,1000,2026,-0.01736745886654479,0.015539305301645339,False,True,39,1015,40
scenario_state,exploring_unknown,10000,fm_minus_linear,trajectory,rank_improvement,1128,1128,0.23847517730496454,0.23847517730496454,1000,2026,-5.461790780141843,6.117841312056737,False,True,536,32,560
scenario_state,exploring_unknown,10000,fm_minus_linear,trajectory,rank_percentile_improvement,1128,1128,0.003144481902042613,0.003144481902042613,1000,2026,-0.009318274166394032,0.016215635910117814,False,True,536,32,560
scenario_state,exploring_unknown,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,1128,1128,0.0031444819020426135,0.0031444819020426135,1000,2026,-0.009225187303848092,0.015953747909005136,False,True,536,32,560
scenario_state,intent_override,10000,fm_minus_linear,trajectory,mrr_delta,1141,382,0.002898124100849638,0.002898124100849638,1000,2026,-0.013585528332878254,0.019136336892400182,False,True,352,452,337
scenario_state,intent_override,10000,fm_minus_linear,trajectory,hit_at_1_delta,1141,382,-0.002807903266018449,-0.002807903266018449,1000,2026,-0.032000358389429065,0.02427169035153328,False,True,39,1066,36
scenario_state,intent_override,10000,fm_minus_linear,trajectory,hit_at_5_delta,1141,382,0.00662552979306906,0.00662552979306906,1000,2026,-0.014192766766392419,0.028481130017451995,False,True,32,1076,33
scenario_state,intent_override,10000,fm_minus_linear,trajectory,hit_at_10_delta,623,246,0.03827913279132791,0.014095612066816256,1000,2026,-0.006453252032520323,0.08402777777777777,False,True,54,535,34
scenario_state,intent_override,10000,fm_minus_linear,trajectory,rank_improvement,1141,382,2.855332211418599,2.855332211418599,1000,2026,0.4242847014460233,5.514575308526552,True,True,352,452,337
scenario_state,intent_override,10000,fm_minus_linear,trajectory,rank_percentile_improvement,1141,382,0.025541594753469603,0.025541594753469603,1000,2026,0.0029765541474313303,0.05025216392421994,True,True,352,452,337
scenario_state,intent_override,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,1141,306,0.03924300564513684,0.03924300564513684,1000,2026,0.008532228426915867,0.0727543622911799,True,True,352,118,337
scenario_state,provisional_override,10000,fm_minus_linear,trajectory,mrr_delta,959,382,-0.017310444791351482,-0.017310444791351482,1000,2026,-0.03082946674939031,-0.003866425844679264,True,True,106,683,170
scenario_state,provisional_override,10000,fm_minus_linear,trajectory,hit_at_1_delta,959,382,-0.02268760907504363,-0.02268760907504363,1000,2026,-0.04145942408376963,-0.003479493891797565,True,True,11,914,34
scenario_state,provisional_override,10000,fm_minus_linear,trajectory,hit_at_5_delta,959,382,-0.013961605584642232,-0.013961605584642232,1000,2026,-0.029232111692844676,0.0004363001745200703,False,True,8,931,20
scenario_state,provisional_override,10000,fm_minus_linear,trajectory,hit_at_10_delta,232,125,4.440892098500626e-19,0.002181500872600349,1000,2026,-0.057333333333333326,0.064,False,True,15,203,14
scenario_state,provisional_override,10000,fm_minus_linear,trajectory,rank_improvement,959,382,-0.2831588132635253,-0.2831588132635253,1000,2026,-2.1240074171029666,1.9439790575916227,False,True,106,683,170
